Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;ARROW_PART_NUMBER;ARROW_PRICE-STOCK;AVAILABILITY;CHECK_PRICES;COPYRIGHT;DESCRIPTION;JLCPCB;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MFR_NAME;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;PACKAGE;POPULARITY;PRICE;PROD_ID;PURCHASE-URL;SNAPEDA_LINK;TP_SIGNAL_NAME;
J4;1;Check availability;KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P;KH-TYPE-C-16P;;;;;Top;;;Not in stock;https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=eda;;                                                                                                    ;;;;kinghelm;;;;KH-TYPE-C-16P;None;;None;;;https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=snap;;
L1;1;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;3.9nH;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
L2;1;Generic chip inductor;NORDIC_NRF_2_RESC0603_L;10uH;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
L3;1;Generic chip inductor;NORDIC_NRF_2_RESC0201_L;15nH;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
L5;1;;ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE;68uH;;;;;Top;;;;;Copyright (C) 2024 Ultra Librarian. All rights reserved.;;;;744043680;;Wurth Electronics;;;;;;;;;;;
L7;1;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;MLP2016SR47MT0S1_INDC2016X100N;FTC252012SR47MBCA;;;;;Top;;;;;;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;https://jlcpcb.com/partdetail/6763488-FTC252012SR47MBCA/C5832368;TDK;FTC252012SR47MBCA;;;;;;;;;;;;;
Q1;1;P-channel MOSFETs;ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3;20V/4.2A/52mΩ/1.4W;;;;;Top;;;;;;;;;;;;;;;;;;TRAN-14388;;;;
Q3;1;MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70;SOT65P210X110-3N;SI1308EDL-T1-GE3;;;;;Top;;;In Stock;https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda;; Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ;;;;Vishay Siliconix;;;;SI1308EDL-T1-GE3;SOT-323 Vishay Semiconductor;;None;;https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None;https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=snap;;
R_PWR_EPD, R2_EP_DR, R9;3;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;10K;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R_TYPE_SEL;1;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;2.2;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R1_EP_DR;1;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;0.47;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R1_USB, R2_USB;2;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;5K1;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R2, R3, R4;3;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;0;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R5, R7, R8;3;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;10k;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
R17, R18;2;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;3K3;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
SJ1;1;SMD solder JUMPER;ESP32_C6_LIBRARY_7_JUMPER_SJ;0;;;;;Top;;;;;;;;;;;;;;;;3;;;;;;
SW_DN, SW_ENT, SW_UP;3;;2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN;2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN;;;;;Top;;;;;Copyright (C) 2025 Ultra Librarian. All rights reserved.;;;Panasonic;EVP-AKE31A;;;;;;;;;;;;;
TP_3.3V, TP_3V3, TP_BAT_GND, TP_GND, TP_ON, TP_OP, TP_RESET, TP_SCL, TP_SDA, TP_SWDCLK, TP_SWDIO, TP_SWO, TP_VBAT, TP_VREG;14;Test pad;HECTOR_WATCH_1_TP20R;HECTOR_WATCH_1_TPTP20R;;;;;Top;;;;;;;;;;;;;;;;2;;;;;;
U1;1;nRF52840;NORDIC_NRF_4_AQFN50P700X700X85_HS-74N;NRF52840_QF;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
U3;1;Check availability;ESP32_C6_LIBRARY_SON50P200X200X80-9N;ESP32_C6_LIBRARY_MAX17048G+T10;;;;;Top;;;In Stock;https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda;; 3µA 1-Cell/2-Cell Fuel Gauge with ModelGauge ;;;;Analog Devices;;;;MAX17048G+T10;TDFN-8 Maxim;;None;;https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None;https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=snap;;
X1;1;;NORDIC_NRF_BT-XTAL_2016_N;32MHz;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
X2;1;;NORDIC_NRF_1_XTAL_3215_N;32.768KHz;;;;;Top;;;;;;;;;;;;;;;;;;;;;;
